名称,功效
白芍,养血调经，敛阴止汗，柔肝止痛，平抑肝阳。用于血虚萎黄，月经不调，自汗，盗汗，胁痛，腹痛，四肢挛痛，头痛眩晕。
白术,健脾益气，燥湿利水，止汗，安胎。用于脾虚食少，腹胀泄泻，痰饮眩悸，水肿，自汗，胎动不安。
牡荆叶,祛痰，止咳，平喘。用于咳嗽痰多。
白头翁,清热解毒，凉血止痢。用于热毒血痢，阴痒带下。
白薇,清热凉血，利尿通淋，解毒疗疮。用于温邪伤营发热，阴虚发热，骨蒸劳热，产后血虚发热，热淋，血淋，痈疽肿毒。
白鲜皮,清热燥湿，祛风解毒。用于湿热疮毒，黄水淋漓，湿疹，风疹，疥癣疮癞，风湿热痹，黄疸尿赤。
白芷,解表散寒，祛风止痛，宣通鼻窍，燥湿止带，消肿排脓。用于感冒头痛，眉棱骨痛，鼻塞流涕，鼻鼽，鼻渊，牙痛，带下，疮疡肿痛。
百部,润肺下气止咳，杀虫灭虱。用于新久咳嗽，肺痨咳嗽，顿咳；外用于头虱，体虱，蛲虫病，阴痒。蜜百部润肺止咳。用于阴虚劳嗽。
百合,养阴润肺，清心安神。用于阴虚燥咳，劳嗽咳血，虚烦惊悸，失眠多梦，精神恍惚。
柏子仁,养心安神，润肠通便，止汗。用于阴血不足，虚烦失眠，心悸怔忡，肠燥便秘，阴虚盗汗。
斑蝥,破血逐瘀，散结消癥，攻毒蚀疮。用于癥瘕，经闭，顽癣，瘰疬，赘疣，痈疽不溃，恶疮死肌。
板蓝根,清热解毒，凉血利咽。用于温疫时毒，发热咽痛，温毒发斑，痄腮，烂喉丹痧，大头瘟疫，丹毒，痈肿。
半边莲,清热解毒，利尿消肿。用于痈肿疔疮，蛇虫咬伤，臌胀水肿，湿热黄疸，湿疹湿疮。
半枝莲,清热解毒，化瘀利尿。用于疔疮肿毒，咽喉肿痛，跌扑伤痛，水肿，黄疸，蛇虫咬伤。
北沙参,养阴清肺，益胃生津。用于肺热燥咳，劳嗽痰血，胃阴不足，热病津伤，咽干口渴。
荜茇,温中散寒，下气止痛。用于脘腹冷痛，呕吐，泄泻，寒凝气滞，胸痹心痛，头痛，牙痛。
蓖麻子,泻下通滞，消肿拔毒。用于大便燥结，痈疽肿毒，喉痹，瘰疬。
湖北贝母,清热化痰，止咳，散结。用于热痰咳嗽，瘰疬痰核，痈肿疮毒。
滑石粉,利尿通淋，清热解暑；外用祛湿敛疮。用于热淋，石淋，尿热涩痛，暑湿烦渴，湿热水泻；外治湿疹，湿疮，痱子。
鳖甲,滋阴潜阳，退热除蒸，软坚散结。用于阴虚发热，骨蒸劳热，阴虚阳亢，头晕目眩，虚风内动，手足瘈疭，经闭，癥瘕，久疟疟母。
槟榔,杀虫，消积，行气，利水，截疟。用于绦虫病，蛔虫病，姜片虫病，虫积腹痛，积滞泻痢，里急后重，水肿脚气，疟疾。
冰片,开窍醒神，清热止痛。用于热病神昏、惊厥，中风痰厥，气郁暴厥，中恶昏迷，胸痹心痛，目赤，口疮，咽喉肿痛，耳道流脓。
筋骨草,清热解毒，凉血消肿。用于咽喉肿痛，肺热咯血，跌打肿痛。
薄荷,疏散风热，清利头目，利咽，透疹，疏肝行气。用于风热感冒，风温初起，头痛，目赤，喉痹，口疮，风疹，麻疹，胸胁胀闷。
辣椒,温中散寒，开胃消食。用于寒滞腹痛，呕吐，泻痢，冻疮。
补骨脂,温肾助阳，纳气平喘，温脾止泻；外用消风祛斑。用于肾阳不足，阳痿遗精，遗尿尿频，腰膝冷痛，肾虚作喘，五更泄泻；外用治白癜风，斑秃。
布渣叶,消食化滞，清热利湿。用于饮食积滞，感冒发热，湿热黄疸。
苍耳子,散风寒，通鼻窍，祛风湿。用于风寒头痛，鼻塞流涕，鼻鼽，鼻渊，风疹瘙痒，湿痹拘挛。
苍术,燥湿健脾，祛风散寒，明目。用于湿阻中焦，脘腹胀满，泄泻，水肿，脚气痿躄，风湿痹痛，风寒感冒，夜盲，眼目昏涩。
山麦冬,养阴生津，润肺清心。用于肺燥干咳，阴虚痨嗽，喉痹咽痛，津伤口渴，内热消渴，心烦失眠，肠燥便秘。
草豆蔻,燥湿行气，温中止呕。用于寒湿内阻，脘腹胀满冷痛，嗳气呕逆，不思饮食。
草果,燥湿温中，截疟除痰。用于寒湿内阻，脘腹胀痛，痞满呕吐，疟疾寒热，瘟疫发热。
拳参,清热解毒，消肿，止血。用于赤痢热泻，肺热咳嗽，痈肿瘰疬，口舌生疮，血热吐衄，痔疮出血，蛇虫咬伤。
决明子,清热明目，润肠通便。用于目赤涩痛，羞明多泪，头痛眩晕，目暗不明，大便秘结。
肿节风,清热凉血，活血消斑，祛风通络。用于血热发斑发疹，风湿痹痛，跌打损伤。
草乌,祛风除湿，温经止痛。用于风寒湿痹，关节疼痛，心腹冷痛，寒疝作痛及麻醉止痛。
侧柏叶,凉血止血，化痰止咳，生发乌发。用于吐血，衄血，咯血，便血，崩漏下血，肺热咳嗽，血热脱发，须发早白。
黑种草子,补肾健脑，通经，通乳，利尿。用于耳鸣健忘，经闭乳少，热淋，石淋。
柴胡,疏散退热，疏肝解郁，升举阳气。用于感冒发热，寒热往来，胸胁胀痛，月经不调，子宫脱垂，脱肛。
蕤仁,疏风散热，养肝明目。用于目赤肿痛，睑弦赤烂，目暗羞明。
蛤壳,清热化痰，软坚散结，制酸止痛；外用收湿敛疮。用于痰火咳嗽，胸胁疼痛，痰中带血，瘰疬瘿瘤，胃痛吞酸；外治湿疹，烫伤。
山香圆叶,清热解毒，利咽消肿，活血止痛。用于乳蛾喉痹，咽喉肿痛，疮疡肿毒，跌扑伤痛。
蝉蜕,疏散风热，利咽，透疹，明目退翳，解痉。用于风热感冒，咽痛音哑，麻疹不透，风瘆瘙痒，目赤翳障，惊风抽搐，破伤风。
蟾酥,解毒，止痛，开窍醒神。用于痈疽疔疮，咽喉肿痛，中暑神昏，痧胀腹痛吐泻。
常山,涌吐痰涎，截疟。用于痰饮停聚，胸膈痞塞，疟疾。
车前子,清热利尿通淋，渗湿止泻，明目，祛痰。用于热淋涩痛，水肿胀满，暑湿泄泻，目赤肿痛，痰热咳嗽。
沉香,行气止痛，温中止呕，纳气平喘。用于胸腹胀闷疼痛，胃寒呕吐呃逆，肾虚气逆喘急。
朱砂,清心镇惊，安神，明目，解毒。用于心悸易惊，失眠多梦，癫痫发狂，小儿惊风，视物昏花，口疮，喉痹，疮疡肿毒。
陈皮,理气健脾，燥湿化痰。用于脘腹胀满，食少吐泻，咳嗽痰多。
赤芍,清热凉血，散瘀止痛。用于热入营血，温毒发斑，吐血衄血，目赤肿痛，肝郁胁痛，经闭痛经，癥瘕腹痛，跌扑损伤，痈肿疮疡。
赤石脂,涩肠，止血，生肌敛疮。用于久泻久痢，大便出血，崩漏带下；外治疮疡久溃不敛，湿疮脓水浸淫。
赤小豆,利水消肿，解毒排脓。用于水肿胀满，脚气浮肿，黄疸尿赤，风湿热痹，痈肿疮毒，肠痈腹痛。
茺蔚子,活血调经，清肝明目。用于月经不调，经闭痛经，目赤翳障，头晕胀痛。
楮实子,补肾清肝，明目，利尿。用于肝肾不足，腰膝酸软，虚劳骨蒸，头晕目昏，目生翳膜，水肿胀满。
紫萁贯众,清热解毒，止血，杀虫。用于疫毒感冒，热毒泻痢，痈疮肿毒，吐血，衄血，便血，崩漏，虫积腹痛。
冬虫夏草,补肾益肺，止血化痰。用于肾虚精亏，阳痿遗精，腰膝酸痛，久咳虚喘，劳嗽咯血。
花椒,温中止痛，杀虫止痒。用于脘腹冷痛，呕吐泄泻，虫积腹痛；外治湿疹，阴痒。
苦楝皮,杀虫，疗癣。用于蛔虫病，蛲虫病，虫积腹痛；外治疥癣瘙痒。
川楝子,疏肝泄热，行气止痛，杀虫。用于肝郁化火，胸胁、脘腹胀痛，疝气疼痛，虫积腹痛。
川木香,行气止痛。用于胸胁、脘腹胀痛，肠鸣腹泻，里急后重。
川牛膝,逐瘀通经，通利关节，利尿通淋。用于经闭癥瘕，胞衣不下，跌扑损伤，风湿痹痛，足痿筋挛，尿血血淋。
制川乌,祛风除湿，温经止痛。用于风寒湿痹，关节疼痛，心腹冷痛，寒疝作痛及麻醉止痛。
川贝母,清热润肺，化痰止咳，散结消痈。用于肺热燥咳，干咳少痰，阴虚劳嗽，痰中带血，瘰疬，乳痈，肺痈。
川乌,祛风除湿，温经止痛。用于风寒湿痹，关节疼痛，心腹冷痛，寒疝作痛及麻醉止痛。
川芎,活血行气，祛风止痛。用于胸痹心痛，胸胁刺痛，跌扑肿痛，月经不调，经闭痛经，癥瘕腹痛，头痛，风湿痹痛。
穿山龙,祛风除湿，舒筋通络，活血止痛，止咳平喘。用于风湿痹病，关节肿胀，疼痛麻木，跌扑损伤，闪腰岔气，咳嗽气喘。
穿心莲,清热解毒，凉血，消肿。用于感冒发热，咽喉肿痛，口舌生疮，顿咳劳嗽，泄泻痢疾，热淋涩痛，痈肿疮疡，蛇虫咬伤。
紫花前胡,降气化痰，散风清热。用于痰热喘满，咯痰黄稠，风热咳嗽痰多。
翼首草,解毒除瘟，清热止痢，祛风通痹。
垂盆草,利湿退黄，清热解毒。用于湿热黄疸，小便不利，痈肿疮疡。
椿皮,清热燥湿，收涩止带，止泻，止血。用于赤白带下，湿热泻痢，久泻久痢，便血，崩漏。
麝香,开窍醒神，活血通经，消肿止痛。用于热病神昏，中风痰厥，气郁暴厥，中恶昏迷，经闭，癥瘕，难产死胎，胸痹心痛，心腹暴痛，跌扑伤痛，痹痛麻木，痈肿瘰疬，咽喉肿痛。
磁石,镇惊安神，平肝潜阳，聪耳明目，纳气平喘。用于惊悸失眠，头晕目眩，视物昏花，耳鸣耳聋，肾虚气喘。
刺五加,益气健脾，补肾安神。用于脾肺气虚，体虚乏力，食欲不振，肺肾两虚，久咳虚喘，肾虚腰膝酸痛，心脾不足，失眠多梦。
大蒜,解毒消肿，杀虫，止痢。用于痈肿疮疡，疥癣，肺痨，顿咳，泄泻，痢疾。
大腹皮,行气宽中，行水消肿。用于湿阻气滞，脘腹胀闷，大便不爽，水肿胀满，脚气浮肿，小便不利。
大黄,泻下攻积，清热泻火，凉血解毒，逐瘀通经，利湿退黄。用于实热积滞便秘，血热吐衄，目赤咽肿，痈肿疔疮，肠痈腹痛，瘀血经闭，产后瘀阻，跌打损伤，湿热痢疾，黄疸尿赤，淋证，水肿；外治烧烫伤。酒大黄善清上焦血分热毒，用于目赤咽肿、齿龈肿痛。熟大黄泻下力缓、泻火解毒，用于火毒疮疡。大黄炭凉血化瘀止血，用于血热有瘀出血症。
大蓟,凉血止血，散瘀解毒消痈。用于衄血，吐血，尿血，便血，崩漏，外伤出血，痈肿疮毒。
萹蓄,利尿通淋，杀虫，止痒。用于热淋涩痛，小便短赤，虫积腹痛，皮肤湿疹，阴痒带下。
木贼,疏散风热，明目退翳。用于风热目赤，迎风流泪，目生云翳。
绵萆薢,利湿去浊，祛风除痹。用于膏淋，白浊，白带过多，风湿痹痛，关节不利，腰膝疼痛。
大青叶,清热解毒，凉血消斑。用于温病高热，神昏，发斑发疹，痄腮，喉痹，丹毒，痈肿。
丹参,活血祛瘀，通经止痛，清心除烦，凉血消痈。用于胸痹心痛，脘腹胁痛，癥瘕积聚，热痹疼痛，心烦不眠，月经不调，痛经经闭，疮疡肿痛。
胆南星,清热化痰，息风定惊。用于痰热咳嗽，咯痰黄稠，中风痰迷，癫狂惊痫。
淡豆豉,解表，除烦，宣发郁热。用于感冒，寒热头痛，烦躁胸闷，虚烦不眠。
淡竹叶,清热泻火，除烦止渴，利尿通淋。用于热病烦渴，小便短赤涩痛，口舌生疮。
当归,补血活血，调经止痛，润肠通便。用于血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘。酒当归活血通经。用于经闭痛经，风湿痹痛，跌扑损伤。
党参,健脾益肺，养血生津。用于脾肺气虚，食少倦怠，咳嗽虚喘，气血不足，面色萎黄，心悸气短，津伤口渴，内热消渴。
刀豆,温中，下气，止呃。用于虚寒呃逆，呕吐。
灯心草,清心火，利小便。用于心烦失眠，尿少涩痛，口舌生疮。
苦地丁,清热解毒，散结消肿。用于时疫感冒，咽喉肿痛，疔疮肿痛，痈疽发背，痄腮丹毒。
地肤子,清热利湿，祛风止痒。用于小便涩痛，阴痒带下，风疹，湿疹，皮肤瘙痒。
地骨皮,凉血除蒸，清肺降火。用于阴虚潮热，骨蒸盗汗，肺热咳嗽，咯血，衄血，内热消渴。
地锦草,清热解毒，凉血止血，利湿退黄。用于痢疾，泄泻，咯血，尿血，便血，崩漏，疮疖痈肿，湿热黄疸。
地龙,清热定惊，通络，平喘，利尿。用于高热神昏，惊痫抽搐，关节痹痛，肢体麻木，半身不遂，肺热喘咳，水肿尿少。
地榆,凉血止血，解毒敛疮。用于便血，痔血，血痢，崩漏，水火烫伤，痈肿疮毒。
体外培育牛黄,清心，豁痰，开窍，凉肝，息风，解毒。用于热病神昏，中风痰迷，惊痫抽搐，癫痫发狂，咽喉肿痛，口舌生疮，痈肿疔疮。
冬瓜皮,利尿消肿。用于水肿胀满，小便不利，暑热口渴，小便短赤。
冬葵果,清热利尿，消肿。用于尿闭，水肿，口渴；尿路感染。
冬凌草,清热解毒，活血止痛。用于咽喉肿痛，癥瘕痞块，蛇虫咬伤。
猪胆粉,清热润燥，止咳平喘，解毒。用于顿咳，哮喘，热病燥渴，目赤，喉痹，黄疸，泄泻，痢疾，便秘，痈疮肿毒。
绵马贯众炭,收涩止血。用于崩漏下血。
杜仲,补肝肾，强筋骨，安胎。用于肝肾不足，腰膝酸痛，筋骨无力，头晕目眩，妊娠漏血，胎动不安。
莪术,行气破血，消积止痛。用于癥瘕痞块，瘀血经闭，胸痹心痛，食积胀痛。
鹅不食草,发散风寒，通鼻窍，止晐。用于风寒头痛，咳嗽痰多，鼻塞不通，鼻渊流涕。
儿茶,活血止痛，止血生肌，收湿敛疮，清肺化痰。用于跌扑伤痛，外伤出血，吐血衄血，疮疡不敛，湿疹、湿疮，肺热咳嗽。
番泻叶,泻热行滞，通便，利水。用于热结积滞，便秘腹痛，水肿胀满。
防风,祛风解表，胜湿止痛，止痉。用于感冒头痛，风湿痹痛，风疹瘙痒，破伤风。
野木瓜,祛风止痛，舒筋活络。用于风湿痹痛，腰腿疼痛，头痛，牙痛，痛经，跌打伤痛。
防己,祛风止痛，利水消肿。用于风湿痹痛，水肿脚气，小便不利，湿疹疮毒。
飞扬草,清热解毒，利湿止痒，通乳。用于肺痈，乳痈，疔疮肿毒，牙疳，痢疾，泄泻，热淋，血尿，湿疹，脚癣，皮肤瘙痒，产后少乳。
菊苣,清肝利胆，健胃消食，利尿消肿。用于湿热黄疸，胃痛食少，水肿尿少。
野马追,化痰止咳平喘。用于痰多咳嗽气喘。
蜂房,攻毒杀虫，祛风止痛。用于疮疡肿毒，乳痈，瘰疬，皮肤顽癣，鹅掌风，牙痛，风湿痹痛。
蜂蜜,补中，润燥，止痛，解毒；外用生肌敛疮。用于脘腹虚痛，肺燥干咳，肠燥便秘，解乌头类药毒；外治疮疡不敛，水火烫伤。
佛手,疏肝理气，和胃止痛，燥湿化痰。用于肝胃气滞，胸胁胀痛，胃脘痞满，食少呕吐，咳嗽痰多。
茯苓,利水渗湿，健脾，宁心。用于水肿尿少，痰饮眩悸，脾虚食少，便溏泄泻，心神不安，惊悸失眠。
茯苓皮,利水消肿。用于水肿，小便不利。
覆盆子,益肾固精缩尿，养肝明目。用于遗精滑精，遗尿尿频，阳痿早泄，目暗昏花。
槲寄生,祛风湿，补肝肾，强筋骨，安胎元。用于风湿痹痛，腰膝酸软，筋骨无力，崩漏经多，妊娠漏血，胎动不安，头晕目眩。
干姜,温中散寒，回阳通脉，温肺化饮。用于脘腹冷痛，呕吐泄泻，肢冷脉微，寒饮喘咳。
干漆,破瘀通经，消积杀虫。用于瘀血经闭，癥瘕积聚，虫积腹痛。
甘草,补脾益气，清热解毒，祛痰止咳，缓急止痛，调和诸药。用于脾胃虚弱，倦怠乏力，心悸气短，咳嗽痰多，脘腹、四肢挛急疼痛，痈肿疮毒，缓解药物毒性、烈性。
甘松,理气止痛，开郁醒脾；外用祛湿消肿。用于脘腹胀满，食欲不振，呕吐；外用治牙痛，脚气肿毒。
菥蓂,清肝明目，和中利湿，解毒消肿。用于目赤肿痛，脘腹胀痛，胁痛，肠痈，水肿，带下，疮疖痈肿。
菝葜,利湿去浊、祛风除痹，解毒散瘀。用于小便淋浊，带下量多，风湿痹痛，疔疮痈肿。
甘遂,泻水逐饮，消肿散结。用于水肿胀满，胸腹积水，痰饮积聚，气逆咳喘，二便不利，风痰癲痫，痈肿疮毒。
青果,清热解毒，利咽，生津。用于咽喉肿痛，咳嗽痰黏，烦热口渴，鱼蟹中毒。
高良姜,温胃止呕，散寒止痛。用于脘腹冷痛，胃寒呕吐，嗳气吞酸。
藁本,祛风，散寒，除湿，止痛。用于风寒感冒，巅顶疼痛，风湿痹痛。
葛根,解肌退热，生津止渴，透疹，升阳止泻，通经活络，解酒毒。用于外感发热头痛，项背强痛，口渴，消渴，麻疹不透，热痢，泄泻，眩晕头痛，中风偏瘫，胸痹心痛，酒毒伤中。
黄藤,清热解毒，泻火通便。用于热毒内盛，便秘，泻痢，咽喉肿痛，目赤红肿，痈肿疮毒。
蛤蚧,补肺益肾，纳气定喘，助阳益精。用于肺肾不足，虚喘气促，劳嗽咳血，阳痿，遗精。
丁香,温中降逆，补肾助阳。用于脾胃虚寒，呃逆呕吐，食少吐泻，心腹冷痛，肾虚阳痿。
川射干,清热解毒，祛痰，利咽。用于热毒痰火郁结，咽喉肿痛，痰涎壅盛，咳嗽气喘。
钩藤,息风定惊，清热平肝。用于肝风内动，惊痫抽搐，高热惊厥，感冒夹惊，小儿惊啼，妊娠子痫，头痛眩晕。
狗脊,祛风湿，补肝肾，强腰膝。用于风湿痹痛，腰膝酸软，下肢无力。
黄蜀葵花,清利湿热，消肿解毒。用于湿热壅遏，淋浊水肿；外治痈疽肿毒，水火烫伤。
枸杞子,滋补肝肾，益精明目。用于虚劳精亏，腰膝酸痛，眩晕耳鸣，阳萎遗精，内热消渴，血虚萎黄，目昏不明。
谷精草,疏散风热，明目退翳。用于风热目赤，肿痛羞明，眼生翳膜，风热头痛。
罂粟壳,敛肺，涩肠，止痛。用于久咳，久泻，脱肛，脘腹疼痛。
瓜蒌皮,清热化痰，利气宽胸。用于痰热咳嗽，胸闷胁痛。
瓜蒌子,润肺化痰，滑肠通便。用于燥咳痰黏，肠燥便秘。
瓜子金,祛痰止咳，活血消肿，解毒止痛。用于咳嗽痰多，咽喉肿痛；外治跌打损伤，疔疮疖肿，蛇虫咬伤。
广东紫珠,收敛止血，散瘀，清热解毒。用于衄血，咯血，吐血，便血，崩漏，外伤出血，肺热咳嗽，咽喉肿痛，热毒疮疡，水火烫伤。
广枣,行气活血，养心，安神。用于气滞血瘀，胸痹作痛，心悸气短，心神不安。
绵马贯众,清热解毒，驱虫。用于虫积腹痛，疮疡。
榼藤子,补气补血，健胃消食，除风止痛，强筋硬骨。用于水血不足，面色苍白，四肢无力，脘腹疼痛，纳呆食少；风湿肢体关节痿软疼痛，性冷淡。
山豆根,清热解毒，消肿利咽。用于火毒蕴结，乳蛾喉痹，咽喉肿痛，齿龈肿痛，口舌生疮。
广藿香,芳香化浊，和中止呕，发表解暑。用于湿浊中阻，脘痞呕吐，暑湿表证，湿温初起，发热倦怠，胸闷不舒，寒湿闭暑，腹痛吐泻，鼻渊头痛。
山药,补脾养胃，生津益肺，补肾涩精。用于脾虚食少，久泻不止，肺虚喘咳，肾虚遗精，带下，尿频，虚热消渴。麸炒山药补脾健胃。用于脾虚食少，泄泻便溏，白带过多。
龟甲,滋阴潜阳，益肾强骨，养血补心，固经止崩。用于阴虚潮热，骨蒸盗汗，头晕目眩，虚风内动，筋骨痿软，心虚健忘，崩漏经多。
龟甲胶,滋阴，养血，止血。用于阴虚潮热，骨蒸盗汗，腰膝酸软，血虚萎黄，崩漏带下。
肉桂,补火助阳，引火归元，散寒止痛，温通经脉，用于阳瘘宫冷，腰膝冷痛，肾虚作喘，虚阳上浮，眩晕目赤，心腹冷痛，虚寒吐泻，寒疝腹痛，痛经经闭。
小叶莲,调经活血。用于血瘀经闭，难产，死胎、胎盘不下。
小通草,清热，利尿，下乳。用于小便不利，淋证，乳汁不下。
龙眼肉,补益心脾，养血安神。用于气血不足，心悸怔忡，健忘失眠，血虚萎黄。
桂枝,发汗解肌，温通经脉，助阳化气，平冲降气。用于风寒感冒，脘腹冷痛，血寒经闭，关节痹痛，痰饮，水肿，心悸，奔豚。
炙黄芪,益气补中。用于气虚乏力，食少便溏。
哈蟆油,补肾益精，养阴润肺。用于病后体弱，神疲乏力，心悸失眠，盗汗，痨嗽咳血。
海风藤,祛风湿，通经络，止痹痛。用于风寒湿痹，肢节疼痛，筋脉拘挛，屈伸不利。
黄山药,理气止痛，解毒消肿。用于胃痛，吐泻腹痛，跌打损伤；外治疮痈肿毒，瘰疬痰核。
海龙,温肾壮阳，散结消肿。用于肾阳不足，阳痿遗精，癥瘕积聚，瘰疬痰核，跌扑损伤；外治痈肿疔疮。
海马,温肾壮阳，散结消肿。用于阳痿，遗尿，肾虚作喘，癥瘕积聚，跌扑损伤；外治痈肿疔疮。
海螵蛸,收敛止血，涩精止带，制酸止痛，收湿敛疮。用于吐血衄血，崩漏便血，遗精滑精，赤白带下，胃痛吞酸；外治损伤出血，湿疹湿疮，溃疡不敛。
海藻,消痰软坚散结，利水消肿。用于癭瘤，瘰疬，睾丸肿痛，痰饮水肿。
半夏,燥湿化痰，降逆止呕，消痞散结。用于湿痰寒痰，咳喘痰多，痰饮眩悸，风痰眩晕，痰厥头痛，呕吐反胃，胸脘痞闷，梅核气；外治痈肿痰核。
墨旱莲,滋补肝肾，凉血止血。用于肝肾阴虚，牙齿松动，须发早白，眩晕耳鸣，腰膝酸软，阴虚血热吐血、衄血、尿血，血痢，崩漏下血，外伤出血。
诃子,涩肠止泻，敛肺止咳，降火利咽。用于久泻久痢，便血脱肛，肺虚喘咳，久嗽不止，咽痛音哑。
合欢皮,解郁安神，活血消肿。用于心神不安，忧郁失眠，肺痈，疮肿，跌扑伤痛。
何首乌,解毒，消痈，截疟，润肠通便。用于疮痈，瘰疬，风疹瘙痒，久疟体虚，肠燥便秘。
制何首乌,补肝肾，益精血，乌须发，强筋骨，化浊降脂。用于血虚萎黄，眩晕耳鸣，须发早白，腰膝酸软，肢体麻木，崩漏带下，高脂血症。
核桃仁,补肾，温肺，润肠。用于肾阳不足，腰膝酸软，阳痿遗精，虚寒喘嗽，肠燥便秘。
荷叶,清暑化湿，升发清阳，凉血止血。用于暑热烦渴，暑湿泄泻，脾虚泄泻，血热吐衄，便血崩漏。荷叶炭收涩化瘀止血。用于出血症和产后血晕。
鹤虱,杀虫消积。用于蛔虫病，蛲虫病，绦虫病，虫积腹痛，小儿疳积。
蜘蛛香,理气止痛，消食止泻，祛风除湿，镇惊安神。用于脘腹胀痛，食积不化，腹泻痢疾，风湿痹痛，腰膝酸软，失眠。
皂矾,解毒燥湿，杀虫补血。用于黄肿胀满，疳积久痢，肠风便血，血虚萎黄，湿疮疥癣，喉痹口疮。
马钱子粉,通络止痛，散结消肿。用于跌打损伤，骨折肿痛，风湿顽痹，麻木瘫痪，痈疽疮毒，咽喉肿痛。
通关藤,止咳平喘，祛痰，通乳，清热解毒。用于喘咳痰多，产后乳汁不通，风湿肿痛，疮痈。
黑芝麻,补肝肾，益精血，润肠燥。用于精血亏虚，头晕眼花，耳鸣耳聋，须发早白，病后脱发，肠燥便秘。
红参,大补元气，复脉固脱，益气摄血。用于体虚欲脱，肢冷脉微，气不摄血，崩漏下血。
天山雪莲,温肾助阳，祛风胜湿，通经活血。用于风寒湿痹痛、类风湿性关节炎，小腹冷痛，月经不调。
红豆蔻,散寒燥湿，醒脾消食。用于脘腹冷痛，食积胀满，呕吐泄泻，饮酒过多。
红粉,拔毒，除脓，去腐，生肌。用于痈疽疔疮，梅毒下疳，一切恶疮，肉暗紫黑，腐肉不去，窦道瘘管，脓水淋漓，久不收口。
红花,活血通经，散瘀止痛。用于经闭，痛经，恶露不行，癥瘕痞块，胸痹心痛，瘀滞腹痛，胸胁刺痛，跌扑损伤，疮疡肿痛。
