名称,处方,步骤,功效,用法用量,来源,药材
阿魏理中丸,阿魏1分（用面二匙，醋和阿魏作饼子，炙令黄），京三棱（煨，切）1两半，蓬莪术（煨，切）1两半，青橘皮（去白）1两半，陈橘皮（去白）1两半，甘草（炙）1两半，干姜（炮）1两半，干木瓜1两半，肉桂（去粗皮）1两半，白术1两半。,上为细末，面糊为丸，每1两作15丸，朱砂为衣。,一切冷气攻刺疼痛，心腹胀满，胃冷吐逆，脐腹撮痛。,每服1丸，食前细嚼，生姜、木瓜盐汤送下；如妇人血气攻刺，煎干姜、当归汤嚼下。,《杨氏家藏方》卷五,阿魏/京三棱/蓬莪术/青橘皮/陈橘皮/甘草/干姜/干木瓜/肉桂/白术
阿魏消瘤汤,阿魏1.5克，柴胡1.5克，甘草1.5克，当归尾4.5克，赤芍4.5克，桔梗3克。,,理血消瘤。主瘀血阻滞。,水煎服，每日1剂，日服2次。,张文明方,阿魏/柴胡/甘草/当归尾/赤芍/桔梗
阿魏消痞丸,连翘5两，麦芽10两，山楂肉5两，莱菔子10两，蒌仁10两，风化消2两5钱，六神曲10两，大贝母5两，黄连5钱，阿魏5钱（醋化），制南星10两，胡黄连5两，青盐2两。,上为细末，姜糊为丸。,一切积滞不化，及症瘕痞块，小腹有形，按之则痛等症。,每服1-2钱，开水送下，服后食胡桃肉，以解药气。,《鳞爪集》卷二,连翘/麦芽/山楂肉/莱菔子/蒌仁/风化消/六神曲/大贝母/黄连/阿魏/制南星/胡黄连/青盐
阿魏散,地龙半两（微炒），阿魏半分，乳香1字。,上为细散。,白虎风，身体疼痛不可忍，转动不得。,每服1钱，以好茶调下，不拘时候。,方出《圣惠》卷二十二，名见《圣济总录》卷十,地龙/阿魏/乳香
阿魏撞气丸,小茴1两，青皮1两，甘草1两，陈皮1两，莪术1两，川芎1两，生姜4两（用盐5钱，淹1宿），胡椒5钱，白芷5钱，肉桂5钱，砂仁5钱，丁香皮（炒）5钱。,上为末，用阿魏一钱半，和面糊为丸，如芡实大，每药一斤，用朱砂七钱为衣。,五种噎疾，九种心痛，痃癖气块，冷气攻刺，腹痛肠鸣，呕吐酸水，男子疝气，女人血气。,每服3-5丸，男子气痛，炒姜盐汤送下；妇人血气痛，醋汤送下。,《医学入门》卷七,小茴/青皮/甘草/陈皮/莪术/川芎/生姜/胡椒/白芷/肉桂/砂仁/丁香皮
阿魏搐鼻散,阿魏3钱，鸡内金1钱，冰片3分。,,去星翳。主,炼熟蜜和箸头上，令中空通气，外裹乌金纸，去箸，每夜塞鼻中，星翳自退。,《一盘珠》卷十,阿魏/鸡内金/冰片
阿魏化痞膏,香附20g 厚朴20g 三棱20g 莪术20g 当归20g 生草乌20g 生川乌20g 大蒜20g 使君子20g 白芷20g 穿山甲20g 木鳖子20g 蜣螂20g 胡黄连20g 大黄20g 蓖麻子20g 乳香3g 没药3g 芦荟3g 血竭3g 雄黄15g 肉桂15g 樟脑15g 阿魏20g,上药酌予碎断，用香油240两炸枯，去滓过滤，炼至滴水成珠，加黄丹100两搅匀成膏，取出入水中，出火毒后，加热融化，另兑乳香一两二钱、没药一两二钱、芦荟一两二钱、血竭一两二钱、阿魏八两，樟脑六两、雄黄六两。以上八味，共为细末，过罗。每十六两膏油，兑药粉五钱，搅匀摊贴。,化痞消积。用于气滞血凝，症瘕痞块，脘腹疼痛，胸胁胀满。,外用，加温软化，贴于脐上或患处。外用，加温软化，贴于脐上或患处。,《中国药典》,香附/厚朴/三棱/莪术/当归/生草乌/生川乌/大蒜/使君子/白芷/穿山甲/木鳖子/蜣螂/胡黄连/大黄/蓖麻子/乳香/没药/芦荟/血竭/雄黄/肉桂/樟脑/阿魏
阿魏化痞散,川芎 当归 白术 赤茯苓 红花 阿魏 鳖甲尖（酥炙，研）各3克 大黄（酒炒）24克 养麦面30克（微炒）,上药共为末。,痞癖初起，腹中觉有小块，举动牵引作疼，久则渐大成形。,每服9克，空腹时用好酒酌量调稀服。,《外科正宗》卷四,川芎/当归/白术/赤茯苓/红花/阿魏/鳖甲尖/大黄/养麦面
阿魏丸,木香（不见火）槟榔各15克 胡椒 阿魏（用醋化开，旋入）各7.5克,上为细末，用阿魏膏子并粟米饭，杵和为丸，如梧桐子大。,气积、肉积，心腹臌满，结块疼痛。或引胁肋疼痛，或痛连背膂，不思饮食者。,每服40丸，不拘时候，用生姜、橘皮汤送下。,《重订严氏济生方》,木香/槟榔/胡椒/阿魏
阿魏万灵膏,真芝麻油2斤4两（浸后药，春5、夏3、秋7、冬10日），当归1两，川芎1两，防风1两，白芷1两，肉桂1两，木鳖仁49粒，蓖麻仁25粒，巴豆仁49粒，穿山甲7大片，槐枝30寸，柳枝30寸。,上药油浸足日期，用文武火煎至药焦为度。以3-5重丝绵滤滓务净，将滓另于银标内烧出药油，共得净油约二斤；再以飞丹（炒黑，净）□斤，乘油出火，渐渐调入令匀；冷后再入真阿魏一两，用葱汁顿化，搅入令匀；再加滴乳香一两，没药一两，血竭一两，肉桂五钱，附子五钱，麝香一钱，研极细末，渐渐搅入令匀，收贮于有盖之厚瓷罐内封固，取用后，仍须盖紧。,顽痰积蔽，风湿客邪，停滞于皮肤、分肉、经络遂道之间，或积累成块，或阻塞为痛，药石难攻，宜乎外治者用之。,凡用，看患之大小，摊厚青布上，先以水、姜擦过方贴，贴后以热手或热盐包熨之。,《活人方》卷四,真芝麻油/当归/川芎/防风/白芷/肉桂/木鳖仁/蓖麻仁/巴豆仁/穿山甲/槐枝/柳枝
阿菜汤,羊肉1脚子（卸成事件），草果5个，良姜2钱。,,补中益气。主,上药同熬成汤，滤净，下羊肝酱同取清汁，入胡椒5钱。另羊肉切片，羊尾子1个，羊舌1个，羊腰子1付，各切甲叶，蘑菇2两，白菜一同下清汁、盐、醋调和。,《饮膳正要》卷一,羊肉/脚子/草果/良姜
阿芙蓉酒,滴花烧酒1盏，潮脑7钱，阿片烟膏。,,跌扑内损，风湿走注，支节酸疼，闪腰挫气诸般形体之症。,和匀，重汤顿热，以棉纱线蘸透，乘热摩搨患处。,《饲鹤亭集方》,滴花烧酒/潮脑/阿片烟膏
阿艾五苓散,五苓散加阿胶1钱，川芎1钱，炙草1钱，当归3钱，艾叶3钱，白芍4分，熟地4分。,,尿血，其人素好色，属虚者。,水煎服。,《嵩崖尊生》卷八,五苓散/阿胶/川芎/炙草/当归/艾叶/白芍/熟地
阿艾丸,白姜（盐、酒或米醋炒）8钱，香附子（童便浸，炒）1两，玄胡索（炒）8钱，真阿胶（炒成珠）1两，艾叶1两（制成炙艾，用糯米糊作饼，瓦上炕干，勿令焦，研为细末）。,上为末，酒糊为丸，如梧桐子大。,血崩，老妇尤效。,每服30丸，空心盐酒或盐汤任下。,《医统》卷八十四,白姜/香附子/玄胡索/真阿胶/艾叶
艾麦丸,艾叶（糯米糊蘸过，大火焙干）、麦糵（炒）各等分。,上为细末，米醋打糯米粉糊为丸，如梧桐子大。,虚羸，久不进食，脏腑不固，小便常多。,每服30-50丸，空心醋汤、温酒或米饮送下。,《魏氏家藏方》卷七,艾叶/麦糵
艾馄饨,干姜末、熟艾各等分。,以白面作馄饨，如酸枣大。,脾虚有寒，泻痢。,每服40-50个，煮熟，空心服；腹胀者，炒厚朴煮汁熟，即煮馄饨食之。,《鸡峰》卷十四,干姜末/熟艾
艾附汤,大附子2两（炮，去皮脐，切片），熟白艾1两，川姜7钱（炮，洗）。,,脏寒，大便下血。,上(口父)咀。每服3钱，水1盏半，煎7分，去滓，食前温服。,《魏氏家藏方》卷七,大附子/熟白艾/川姜
艾附暖宫丸,艾叶（炭）120g 香附（醋制）240g 吴茱萸（制）80g 肉桂20g 当归120g 川芎80g 白芍（酒炒）80g 地黄40g 黄芪（蜜炙）80g 续断60g,共为细末，米醋打糊为丸，如梧桐子大。,理气补血，暖宫调经。用于子宫虚寒，月经不调，经来腹痛，腰酸带下。,口服，小蜜丸一次9g，大蜜丸一次1丸，一日2～3次。口服，小蜜丸一次9g，大蜜丸一次1丸，一日2～3次。,《中国药典》,艾叶/香附/吴茱萸/肉桂/当归/川芎/白芍/地黄/黄芪/续断
艾附女珍丸,香附5两（分4份：1童便，1米醋，1人乳，1盐酒浸），蕲艾（醋煮）2两，当归2两，川芎1两半，白芍1两半，熟地黄（酒蒸）1两半，黄芩1两半，阿胶（酒蒸）1两，臭椿根皮1两。,上为末，捣地黄、阿胶和匀，加醋糊为丸，如梧桐子大。,妇人气盛血衰，经期不准，或前或后，紫多淡少，赤白带下，崩漏淋沥，面黄肌瘦，四肢无力，倦怠嗜卧，精神短少，目暗耳鸣，头眩懒言，五心烦热，咽干口燥，夜寐不安者。,每服100丸，空心米汤送下。,《简明医彀》卷七,香附/蕲艾/当归/川芎/白芍/熟地黄/黄芩/阿胶/臭椿根皮
艾附四神丸,破故纸2钱，五味子1钱半，肉豆蔻（面炮）1钱，吴茱萸7分，炒陈艾2钱，厚附片2钱。,,温中暖脏。主妊娠虚寒，腰腹疼痛，精神不振，憎寒喜热，少腹冷，小便清长，食少，舌淡苔白，脉沉迟。,水煎，食远服。,《中医妇科治疗学》,破故纸/五味子/肉豆蔻/吴茱萸/炒陈艾/厚附片
艾附丸,白艾叶 枳壳（去瓤，取净）肉桂（去粗皮）附子（炮，去皮、脐）当归（洗，焙）赤芍药 没药（别研）木香各30克（炮）沉香15克,上药为细末，将艾叶并枳壳用米醋于沙锅内煮，令枳壳烂，同艾细研为膏，和药末为丸，如梧桐子大。,妇人血海虚冷，月水不行，脐腹疼痛，筋脉拘挛，及积年坚瘕积聚。,每服50丸，温酒或米饮送下，空腹时服。,《杨氏家藏方》卷十五,白艾叶/枳壳/肉桂/附子/当归/赤芍药/没药/木香/沉香
艾醋汤,好醋、艾。,好醋炆艾。,验胎。主过月或月数未足，难明是否有孕者。,服半盏后，腹中翻，大痛，是有孕；不为痛，定无。,《古今医鉴》卷十二,好醋/艾
艾蒿酝酒,白艾蒿10束（每束如升许大，净择水洗，锉细）。,煮取浓汁，拌曲末，一如常酝法，酒熟去糟取清酒。,大风癞病，身体面目俱有疮痍，恶汁自出。,艾叶酒（《圣济总录》卷十八）。艾叶酒（《圣济总录》卷十八）。,《圣济总录》卷十八,白艾蒿
艾蒿酒,生艾蒿数升。,,食诸肉骨哽。,水、酒共1斗，煮取3-4升，稍稍饮之。,方出《外台》卷八引《肘后方》，名见《圣济总录》卷一二四,生艾蒿
艾茸敷法,硫黄5钱，雄黄5钱，艾茸1斤。,,阴疮黑陷而不痛者。,艾叶回阳散（《古方汇精》卷二）。,《金鉴》卷六十二,硫黄/雄黄/艾茸
艾茸丸,白艾叶（细锉末，醋半盏同煮，醋尽为度）半两，当归（去芦，酒浸）半两，赤芍药半两，吴茱萸（汤泡7次，炒）半两，肉桂（去粗皮，不见火）半两，天雄（炮，去皮脐，锉，再炒）半两，没药（别研）半两，荜茇半两，木香（不见火）半两，沉香1分（不见火）。,上为细末，醋面糊为丸，如梧桐子大。,妇人下脏久虚，沉寒痼疾。,每服50丸，空心温酒。盐汤送下。,《魏氏家藏方》卷十,白艾叶/当归/赤芍药/吴茱萸/肉桂/天雄/没药/荜茇/木香/沉香
艾茱丸,艾叶1斤，苍术4两，香附子4两，吴茱萸4两，橘皮4两。,上用米醋5升，慢火煮至醋干为度，晒干为细末，醋糊为丸，如梧桐子大。,妇人子宫久冷，赤白带下。,每服70丸，空心、食前淡醋汤送下。,《普济方》卷三三一,艾叶/苍术/香附子/吴茱萸/橘皮
艾胶汤,熟艾（炒）1两，阿胶（炙燥）1两，葱1两。,上(口父)咀，分作3服。,胎动不安。,每服以水3盏，煎至1盏，去滓温服。,《圣济总录》卷一五四,熟艾/阿胶/葱
艾肠泥,藏瓜姜糟60钱，熟地黄60钱，生姜（擦）12钱，艾15钱。,置擂盆内，研烂为泥。,打扑筋挛，骨闪挫，及久年打扑痛。,摊好厚纸上，再以纸覆其上，敷患处，烧铁馒烙熨纸上。,《中国接骨图说》,藏瓜姜糟/熟地黄/生姜/艾
艾硫丸,熟艾10两（用糯米1升煎成粥，浇在艾上，用手拌令匀，于日中晒干），附子（炮，去皮脐）2两，生硫黄（别研极细）2两，干姜10两（炮）。,上为细末，面糊为丸，如梧桐子大。,去邪养正，补真益脾。主髓冷血虚，腰疼脚弱，及伤冷心腹疼痛，霍乱吐利，自汗气急，下元久虚，小便频数；妇人冲任不足，月水衍期，腹胁刺痛，崩漏带下，全不思饮食；兼治伤寒阴证，手足厥冷，脉微自汗。,每服30丸或50丸，食前温米饮送下。,《杨氏家藏方》卷九,熟艾/附子/生硫黄/干姜
艾煎茯苓散,艾，茯苓末1钱。,,别处无汗，独心孔1片有汗者。,以艾煎汤，调茯苓末服。,《医方考》卷四,艾/茯苓末
艾煎膏,艾叶2两，醋1斤。,上将艾叶同醋于银锅内同煎数沸，滤去滓，慢火再熬成膏。,头面风热，小疮多痒少痛，黄汁出。,每用薄摊在衫纸上，贴患处，日1-2次。,《御药院方》卷十,艾叶/醋
艾煎方,熟艾2两，好醋2升，熟铜末1分，楸根白皮1两半（无根，叶亦得），蕤仁1两，黄连（去须）1两，石盐1两。,上药研6味为末，放于醋中，煎取3合，去滓收汁于熟铜器中，入鲤鱼胆、乌鸡胆各1分，和匀，即以槐木去皮，阔3指，长1尺，向日中研药，勿住手，候如饧即住。,眼昏。,夜点眼眦头。避风，日中不点，热泪出勿怪。,《圣济总录》卷一○八,熟艾/好醋/熟铜末/楸根白皮/蕤仁/黄连/石盐
艾煎散,艾5分，茯神2钱，青桑叶1钱。,,心汗，别处无汗，独心孔有汗，思虑多汗亦多。,,《嵩崖尊生》卷八,艾/茯神/青桑叶
艾煎圆,人参、川芎、菖蒲（节.蜜炒），各一两；熟艾（糯米饮调作饼.焙干）四两，食茱萸（汤洗）、当归，各七钱半；白芍药、熟干地黄，各一两半。,,治崩伤淋沥，小肠满痛。常服补荣卫，固经脉。,每服五十圆，酒、饮任下。,《宋·太平惠民和剂局方》,人参/川芎/菖蒲/熟艾/食茱萸/当归/白芍药/熟干地黄
艾煎丸,人参 川芎 菖蒲各30克（节密，炒）熟艾120克（糯米饮调作饼，焙干）食茱萸（汤洗）当归各22克 白芍药 熟干地黄各45克,上为末，煮酒糊为丸，如梧桐子大。,补营卫，固经脉。妇人崩漏，小腹满痛。,每服50丸，酒、饮任下。,《太平惠民和剂局方}卷九,人参/川芎/菖蒲/白芍药/熟干地黄
艾烟丸,黄连（去须）1两半，杏仁（汤浸，去皮尖双仁，炒，研）14粒，胆矾（研）半豆许，铅丹（研）半两，腻粉1分。,上药再同研匀，入粟米粥和，以艾烟熏之，为丸如鸡头子大。,赤目。,每用1丸，以绵裹井花水浸，点眼。,《圣济总录》卷一○四,黄连/杏仁/胆矾/铅丹/腻粉
艾灰饼子,艾叶（烧灰留性）2钱，白龙骨2钱，定粉2钱，肉豆蔻1枚（面裹煨熟），黄丹半钱（火煅飞过）。,上为细末，滴水为丸，每1两作40丸，捏作饼子。,小儿吐泻，日夜无度。,每服1饼子，先取油灯盏，水洗过，乳食前煎油灯盏汤化下。,《杨氏家藏方》卷十八,艾叶/白龙骨/定粉/肉豆蔻/黄丹
艾灰散,艾不拘多少。,烧灰细研。,吐血。,每服2钱匕，新汲水调下。,《圣济总录》卷六十八,艾
艾汤,苦酒（即米醋）300毫升 葶苈（熬，杵膏）9克 生艾汁（无生艾，以熟艾，或用艾根捣取汁）100毫升,上为细末。,伤寒七八日，内热不解，发狂烦躁，面赤嚼痛。,上药煎取100毫升，分三次服。,《外台秘要》卷三引阮河南方,苦酒/葶苈/生艾汁
艾汁涂方,艾1两（锉细）。,,一切癣。,以酽醋半升，煎取浓汁，去滓，涂摩癣上，日3-5次。,《圣济总录》卷一三七,艾
艾汁方,生艾（捣，取汁）。,,下蛔。主蛔虫，或心如刺，口吐清水。,取肥香脯1方寸片，先吃，令虫闻香，然后即饮1升。,方出《证类本草》卷九引葛氏方，名见《圣济总录》卷九十九,生艾
艾梅饮,蕲艾4钱，乌梅1个（上钻1孔）。,,大便下血。,以蕲艾包乌梅，用线扎定，水2钟，煎8分，空心温服。,《内经拾遗》卷一,蕲艾/乌梅
艾柏饮,艾叶1钱半，柏子仁（去净油）1钱半，山萸肉1钱半，丹皮1钱半，大生地3钱，白莲肉（去心）2钱，真山药2钱，泽泻1钱，生荷叶1张（干者不效）。,,鼻血不止，无论虚实至重者。,水煎服。,《验方新编》卷一,艾叶/柏子仁/山萸肉/丹皮/大生地/白莲肉/真山药/泽泻/生荷叶
艾曲散,艾曲1升（生），干姜1两，细辛1两，椒目1两，附子1两，桂1两。,上为细末。,利小便，消肿。主痢后或产后虚肿，水肿。,每服2-3钱，温酒调下。忌猪肉、生葱、生菜。,《鸡峰》卷十九,艾曲/干姜/细辛/椒目/附子/桂
艾姜汤,艾叶1握，黑豆100粒。,,大便下脓血。,新水1大盏，煎至6分，入生姜汁3大匙，稍热服。,《直指》卷二十六,艾叶/黑豆
艾姜丸,干艾叶4两（炒焦存性），川白姜1分（炮）。,上为末，醋煮面糊为丸，如梧桐子大。,湿冷下痢脓血，腹痛；妇人下血；白痢。,每服70丸，食前清水米饮送下。,《直指》卷十四,干艾叶/川白姜
艾叶鸡蛋汤,艾叶50克 鸡蛋2个 白糖适量,将艾叶加水适量煮汤，打入鸡蛋煮熟，放白糖溶化即成。,温肾安胎。适用于习惯性流产。,每日晚睡前服。,《民间方》,艾叶/鸡蛋/白糖
艾叶饮,艾叶、当归（切，焙）、人参、生干地黄（焙）、地榆、干姜（炮）、阿胶（炙令燥）各等分。,上为粗末。,半产后，恶露不断，心闷气短。,每服3钱匕，水1盏，煎至7分，去滓温服，不拘时候。,《圣济总录》卷一五七,艾叶/当归/人参/生干地黄/地榆/干姜/阿胶
艾叶粥,干艾叶15克（鲜者30克）南粳米50克红糖适量,艾叶煎取浓汁去渣，与粳米、红糖加水煮为稠粥。,温经止血，散寒止痛。适用于妇女虚寒性痛经、月经不调小腹冷痛等。,月经过后3天服，月经来前3天停。每日2次，早晚温热服凡阴虚血热者不宜服用。,《民间方》,干艾叶
艾叶生姜煨鸡蛋,艾叶15克 生姜25克 鸡蛋2个,将上3味加水适量同煮；待鸡蛋熟，剥去壳，复入原汤中煨片刻。,温经，止血，安胎，散寒。适用于崩漏及胎动不安、习惯性流产。,吃蛋饮汤，每日2次。,《民间方》,艾叶/生姜/鸡蛋
艾叶煎丸,艾叶4两（微炒），白头翁1两。,上为末，用米醋3升，先熬药末一半成膏，后入余药末相和为丸，如梧桐子大。,冷劳，脐腹疼痛，或时泄痢；兼治妇人劳后带下。,每服30丸，食前以粥饮送下。,《圣惠》卷二十八,艾叶/白头翁
艾叶洗剂,艾叶62g，雄黄6g，防风62g，花椒6g。,,慢性湿疹、过敏性皮炎、泛发性神经皮炎。,煎水熏洗。,《中医皮肤病学简编》,艾叶/雄黄/防风/花椒
艾叶汤,艾叶3两，阿胶3两，芎藭2两，当归3两，甘草1两。,上为粗末。,妊娠2-3月至8-9月，胎动不安，腰痛，已有所下。,上(口父)咀。以水8升，煮取3升，去滓，纳胶令消，分3服，日3次。艾叶（炒）半两，黄芩（去黑心）半两，黄连（去须）1两，茯神（去木）1两，桑耳1两，代赭1两，厚朴（去粗皮，生姜汁炙，锉）1两，白茅根（切）1两，白芷1两，阿胶（炒燥）1两，白术3分。,方出《千金》卷二，名见《产孕集》卷上,艾叶/阿胶/芎藭/当归/甘草
艾叶敷方,艾叶（挼令碎）。,,"中恶，遁尸，心腹及身体痛甚不知痛处，手摸按之,即知痛处，短气不语。",着痛上，令厚2寸，以熨斗纳着灰火熨艾上，令热透，如冷即再熨之。,方出《圣惠》卷五十六，名见《圣济总录》卷一○○,艾叶
艾叶散,鹤虱、艾叶、榼藤子、白胶香各等分。,上锉散。,漏疮。,用瓦饼子内烧烟，熏患处。,《杨氏家藏方》卷十三,鹤虱/艾叶/榼藤子/白胶香
艾叶丸,艾叶1两（微炒），黄连1两（去须，微炒），木香1两，地榆1两（锉），伏龙肝1两，阿胶1两（捣碎，炒令黄燥），当归1两（锉，微炒），赤芍药1两，黄芩1两。,上为末，炼蜜为丸，如梧桐子大。,赤痢，腹痛不可忍。,伏龙肝丸（《圣济总录》卷七十五）。伏龙肝丸（《圣济总录》卷七十五）。,《圣惠》卷五十九,艾叶/黄连/木香/地榆/伏龙肝/阿胶/当归/赤芍药/黄芩
熬漆丸,好漆半升，醇酒半升，白蜜半升。,上三味于铜器中和匀，微火熬令可丸。如鸡头大。,蛲虫在胃，令人渐羸。,每服1丸，宿勿食，空腹温酒送下，虫未下再服。,《圣济总录》卷九十九,好漆/醇酒/白蜜
暗香汤,梅花。,梅花将开时，清旦摘取半开花蕊连蒂置瓶内，每1两用炒盐1两洒之，不可以手触坏，用厚纸数重封固置阴处。次年取时，先置蜜于盏内，然后取花头二三个内于中，滚汤一泡，自开如新。,调脾胃。主,入盐点服，不拘时候。香附子1两（拣大而无皮者，炒），缩砂仁1两半（炒），木香1分，檀香1钱，甘草2两（炙），胡椒1钱（炒）。,《医统》卷九十八,梅花
暗治饮,黄柏3钱，茯苓5钱，蒲公英3钱，柴胡1钱，白芍5钱，生甘草5钱，龙胆草1钱，豨莶草2钱。,,袖手疳。生龟头之颈上，皮包于内而外不显。,水煎服。当归5钱，白芍3钱，茯苓3钱，炒栀子1钱半，柴胡8分，海螵蛸2钱。,《洞天奥旨》卷十二,黄柏/茯苓/蒲公英/柴胡/白芍/生甘草/龙胆草/豨莶草
挨积圆,京三棱（炮）、丁香皮（不见火），各三两；丁香（不见火）、青皮（去白），各一两；干姜（炮）、巴豆（去皮.膜.油），各二钱半。,,治小儿脾胃不和，宿滞不化，腹胀肠鸣，呕逆恶心，便利不调，乳食减少，或疳泻、积泻，大便酸臭。亦治丈夫、妇人胸膈不快，酒积、食积，呕逆恶心，吐泻脾疼。,每服五十圆至六十圆，二岁儿可服七圆至十圆，生姜汤吞下，熟水亦得，不拘时候，更量儿岁数加减与之。每服五十圆至六十圆，二岁儿可服七圆至十圆，生姜汤吞下，熟水亦得，不拘时候，更量儿岁数加减与之。,《宋·太平惠民和剂局方》,京三棱/丁香皮/丁香/青皮/干姜/巴豆
挨积丸,京三棱（炮）90克 丁香皮（不见火）90克 丁香（不见火）青皮（去白）各30克 干姜（炮）巴豆（去皮、膜、油，研）各7.5克,上药为细末，入巴豆拌匀，面、醋和为丸，如粟米大。,温中消积。小儿脾胃不和，宿滞不化，腹胀肠鸣，呕逆恶心，便利不调，乳食减少；或疳泻积泻，大便酸臭；亦治丈夫妇人胸膈不快，酒积食积，呕逆恶心，吐泻脾疼。,每服50～60丸，二岁儿可服7～10丸，生姜汤吞下，熟水亦得，不拘时候。,《太平惠民和剂局方》卷十,京三棱/丁香皮/丁香/青皮/干姜/巴豆
